Location,Year,Sat Score,Ratio
Alabama ,2000,556,15.4
Alaska ,2000,512,16.9
Arizona ,2000,524,19.8
Arkansas ,2000,556,14.1
California ,2000,507,20.6
Colorado ,2000,540,17.3
Connecticut ,2000,509,13.7
Delaware ,2000,500,15.4
District of Columbia ,2000,478,13.9
Florida ,2000,498,18.4
Georgia ,2000,490,15.9
Hawaii ,2000,500,16.9
Idaho ,2000,542,17.9
Illinois ,2000,582,16.1
Indiana ,2000,500,16.7
Iowa ,2000,598,14.3
Kansas ,2000,578,14.4
Kentucky ,2000,550,16.8
Louisiana ,2000,563,16.6
Maine ,2000,503,12.5
Maryland ,2000,509,16.3
Massachusetts ,2000,513,14.5
Michigan ,2000,566,17.7
Minnesota ,2000,584,16
Mississippi ,2000,558,16.1
Missouri ,2000,577,14.1
Montana ,2000,539,14.9
Nebraska ,2000,565,13.6
Nevada ,2000,512,18.6
New Hampshire ,2000,518,14.5
New Jersey ,2000,506,13.3
New Mexico ,2000,546,15.2
New York ,2000,500,13.9
North Carolina ,2000,496,15.5
North Dakota ,2000,595,13.4
Ohio ,2000,536,15.5
Oklahoma ,2000,564,15.1
Oregon ,2000,526,19.4
Pennsylvania ,2000,499,15.5
Rhode Island ,2000,500,14.8
South Carolina ,2000,487,14.9
South Dakota ,2000,579,13.7
Tennessee ,2000,557,15.9
Texas ,2000,496,14.8
United States,2000,510,16
Utah ,2000,572,21.9
Vermont ,2000,508,12.1
Virginia ,2000,505,13.2
Washington ,2000,527,19.7
West Virginia,2000,519,13.7
Wisconsin ,2000,590,14.6
Wyoming ,2000,546,13.3
Alabama ,2005,563,12.8
Alaska ,2005,509,16.8
Arizona ,2005,518,21.3
Arkansas ,2005,569,14.4
California ,2005,506,20.8
Colorado ,2005,556,17
Connecticut ,2005,513,14.5
Delaware ,2005,493,15.1
District of Columbia ,2005,480,14
Florida ,2005,491,16.8
Georgia ,2005,492,14.7
Hawaii ,2005,487,16.3
Idaho ,2005,537,18
Illinois ,2005,595,15.8
Indiana ,2005,497,17.1
Iowa ,2005,602,13.7
Kansas ,2005,579,13.9
Kentucky ,2005,559,16
Louisiana ,2005,570,16.6
Maine ,2005,497,11.7
Maryland ,2005,503,15.2
Massachusetts ,2005,515,13.2
Michigan ,2005,568,17.8
Minnesota ,2005,588,16.4
Mississippi ,2005,553,15.7
Missouri ,2005,586,13.7
Montana ,2005,535,14
Nebraska ,2005,575,13.4
Nevada ,2005,495,19
New Hampshire ,2005,517,13.2
New Jersey ,2005,502,12.4
New Mexico ,2005,549,14.8
New York ,2005,495,12.9
North Carolina ,2005,497,14.8
North Dakota ,2005,605,12.3
Ohio ,2005,533,15.6
Oklahoma ,2005,571,15.2
Oregon ,2005,518,19.5
Pennsylvania ,2005,492,15
Rhode Island ,2005,495,10.8
South Carolina ,2005,488,14.6
South Dakota ,2005,590,13.4
Tennessee ,2005,571,16
Texas ,2005,494,15
United States,2005,506,15.6
Utah ,2005,555,22.1
Vermont ,2005,511,10.9
Virginia ,2005,508,11.7
Washington ,2005,523,19.3
West Virginia,2005,514,14.1
Wisconsin ,2005,588,14.6
Wyoming ,2005,546,12.6
Alabama ,2006,557,13.2
Alaska ,2006,509,16.8
Arizona ,2006,515,20.2
Arkansas ,2006,569,13.6
California ,2006,504,20.9
Colorado ,2006,558,16.9
Connecticut ,2006,511,14.7
Delaware ,2006,493,15.2
District of Columbia ,2006,470,13.5
Florida ,2006,490,16.4
Georgia ,2006,490,14.3
Hawaii ,2006,487,16
Idaho ,2006,533,18.1
Illinois ,2006,597,15
Indiana ,2006,495,17.1
Iowa ,2006,602,13.6
Kansas ,2006,580,13.3
Kentucky ,2006,561,15.8
Louisiana ,2006,566,16.6
Maine ,2006,462,11.5
Maryland ,2006,499,14.6
Massachusetts ,2006,515,13.2
Michigan ,2006,566,17.5
Minnesota ,2006,592,16.2
Mississippi ,2006,559,15.3
Missouri ,2006,591,13.7
Montana ,2006,534,13.9
Nebraska ,2006,575,13.4
Nevada ,2006,495,18.5
New Hampshire ,2006,518,13.1
New Jersey ,2006,499,12.4
New Mexico ,2006,547,14.9
New York ,2006,492,12.8
North Carolina ,2006,495,13.8
North Dakota ,2006,580,12.1
Ohio ,2006,533,16.6
Oklahoma ,2006,569,15.1
Oregon ,2006,516,21.3
Pennsylvania ,2006,491,15.2
Rhode Island ,2006,495,13.3
South Carolina ,2006,486,14.1
South Dakota ,2006,586,13.4
Tennessee ,2006,570,15.7
Texas ,2006,493,14.8
United States,2006,503,15.5
Utah ,2006,552,22.1
Vermont ,2006,514,10.8
Virginia ,2006,506,11.6
Washington ,2006,522,19.1
West Virginia,2006,509,14.5
Wisconsin ,2006,586,14.8
Wyoming ,2006,560,12.6
